Name,Pillar,Status,Publication Date,Format,Inspo,Intensity,Funnel,New Followers,Total views,Views follower %,Views non-follower %,Platform,Link to post,7x7 Creator,CTA,Duration,Media reqd,Hook,QA'd,Script & Caption,Skip rate,Avg watch time (s),Notes,Likes,Comments,Music,Shares
Introverts in their car before work like:,Mindset,Trial,"March 11, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Attract,0,328,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVw4xC2D1KF/?igsh=MTV5emRtaDAzMDZlbQ==,,,4,"b roll - me in my car, big exhale",Introverts in their car before work like:,No,I just want to go home and be with my books tbh,39.42%,3.77,,2,0,End of the Beginning by Djo,0
POV: you’re an empath that just stood up for themselves at work,Mindset,Trial,"March 11, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Nurture,0,480,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVw4alBD2Hf/?igsh=MXJqMDlzdTBlZWNwNA==,,,4,"b roll - me in my car, big exhale",POV: you’re an empath that just stood up for themselves at work,No,Level 100 difficulty but oh so important,27.87%,4.24,,5,0,End of the Beginning by Djo,1
"Learn your role at work, so you don’t lose your mind playing someone else’s",Mindset,Trial,"March 11, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.instagram.com/reel/DUkcbIZieNO/?igsh=cnJhYWY0NHo2ZGRt,Low,Attract,0,287,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVwHiT-kdwB/?igsh=MWZ2Z3BmaW0wdnUxcg==,,,3,b roll - me at my desk at work,"Learn your role at work, so you don’t lose your mind playing someone else’s",No,,43.37%,3.91,,1,0,Love me not by ravynlenae,0
it doesn’t matter if it takes 2 weeks or 2 months,Mindset,Trial,"March 10, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.instagram.com/reel/DVaOf0ZgAP_/?igsh=MTFsZDlteTM5dXMwZg==,Low,Attract,0,136,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVur7Vsjil7/?igsh=MTFxbnN0YWR4YTd2eg==,,,6,B roll - Me smiling / reacting,"it doesn’t matter if it takes 2 weeks or 2 monthsm, what matters is that you make every single day count. Life is too short to waste an opportunity to grow",No,,44.35%,3.61,,0,0,Leanin (Slowed) by CorMill https://www.instagram.com/reels/audio/1191591648702238?igsh=bjNkNnRqa3Bnbzll,0
UNFORTUNATELY I DO LOVE,Lifestyle,Trial,"March 10, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.instagram.com/reel/DPUIqFIAKa2/?igsh=MXRkcmkycWd0ejJqcA==,Medium,Attract,0,6112,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVuptDFjtHv/?igsh=eDhzMGV4NXo3eDU4,,,9,"B roll - concerts, traveling, desk work",Unfortunately I do love,No,The real problem is my concert addiction started when ticket prices were normal 🥲,28.79%,7.59,Used -$$$ and +$$$ in green. Had repeatable success with this one later also.  Only with concerts and likes centered around ton delonge. Also I just realized I surpassed the inspo metrics,132,0,https://www.instagram.com/reels/audio/1350059459842805?igsh=bnZiNm1ubjE0cXc2 Dudeitspink original audio,6
The sound I hear when someone tells me it’s dangerous for a women to travel solo,Lifestyle,Trial,"March 10, 2026","Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21), Templated edits (https://www.notion.so/Templated-edits-3105e3769cad80229d3cfcc158ea4311?pvs=21)",https://www.instagram.com/reel/DU8gZRzkbum/?igsh=dXd2c2toM2J4bXo0,Low,Attract,0,353,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVuf88jDsOl/?igsh=MXQxcXhoYXVldjcybw==,,Follow @gabby.elyse_ if you’re building a life on your own terms.,3,B roll traveling,The sound I hear when someone tells me it’s dangerous for a women to travel solo,No,"I grew up hearing that women shouldn’t travel alone.

But I’ve always dreamed about becoming a digital nomad — building something online and exploring the world.

So I booked my first international trip.

I’m going to visit the country my ancestors came from.

Sometimes the life you want starts with doing the thing you were told not to.

Follow @gabby.elyse_ if you’re building a life on your own terms.",31.4%,4.17,,0,0,Katilifes original audio https://www.instagram.com/reels/audio/786337480831231?igsh=MXAzb2E5dmh4NWpubg==,0
Habits I wish I started in my 20s:,Mindset,Trial,"March 10, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.instagram.com/reel/DVOgkP4jHCr/?igsh=MWFlaTE2ZHd6eWYyZg==,Low,Attract,0,243,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVuYYlJkRc0/?igsh=MWlwNmp5aW56MXl3cQ==,,I want to hear your habits in the comments below 👇,4,"B roll of me eating at hummus fit ",Habits I wish I started in my 20s:,No,"Caption - 1.	Network with as many people as possible
The old “six degrees of separation” theory said we’re six people away from anyone.
Modern social networks show it’s closer to 3–4 people.

2.	Just start
Fear and paralysis cost more time than failure ever will.

3.	Use a credit card for your gym membership
Pay it every month.
Then lock or cut the card so you don’t overspend.

4.	Travel. Even if you’re alone.
Solo travel is one of the most enriching and self-fulfilling experiences you can give yourself.

5.	Don’t just save. Invest.
Inflation rises. Economies fluctuate.
ETFs compound quietly over time.

6.	Never stop reading and learning
Marketing evolves constantly.
Your value isn’t what you knew yesterday — it’s what you know today.

7.	Don’t hide your passion or support for others
Not everyone has good intentions.
But living with integrity always compounds.

I want to hear your habits in the comments below 👇",53.85%,4.89,,0,0,Love me not by ravynlenae,0
“LOL she’s posting on social media again”,Mindset,Trial,"March 10, 2026","Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21), Templated edits (https://www.notion.so/Templated-edits-3105e3769cad80229d3cfcc158ea4311?pvs=21)",template https://www.instagram.com/reel/DVhT7LVAlux/?igsh=MXgxZ3M0eTl4MXU2bA==,Low,Nurture,0,407,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVuWj0OEa9J/?igsh=MWRocGMzMDhidzJiOQ==,,,10,b roll of me talking stitched with footage from the template,“LOL she’s posting on social media again”,No,I’d rather die saying I tried than not tried at all,50.16%,5.66,,8,0,"https://www.instagram.com/reels/audio/26031223703200003?igsh=dzBnMjJ0ZDVmanNx From the template. Contains every living breathing moment by Gabriel piano ",0
"congrats on actually posting, most people don’t even try",Mindset,Trial,"March 10, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.instagram.com/reel/DVWhRSXjxv2/?igsh=Y2Y4MW96ODJwNjRj,Low,Nurture,0,253,0.1%,99.9%,Instagram,,,,7,used talking head footage as b roll,"congrats on actually posting, most people don’t even try",No,"If you posted today, I don’t care how many views or followers you have, I’m proud of you.",49.14%,3.69,https://www.instagram.com/reel/DVuXDu7ETwh/?igsh=MXc1bzhsaWI1dHlpMA==,2,0,The Winner Takes it All by ABBA,0
I’m not famous but if you see this please engage!,Mindset,Trial,"March 9, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),template from https://www.instagram.com/reel/DUwWbKtCUYX/?igsh=MTZnMDl6NzA5OWE5OQ==,Low,Attract,2,309,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVsBLMxjkNI/?igsh=bzhwY2kxaWJsc3Rh,,please engage,6,b roll at LI Cares,I’m not famous but if you see this please engage! I’m Gabby and my goal is to help others!,No,"Caption - The world needs a caring, honest marketer who cares 💗 I want to be that person",34.93%,4.22,,5,0,Indecision by Sampha,
You used to be the funniest little kid,Passion,Trial,"March 9, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),i used a template but i can't find it - this is a viral format,Low,Attract,0,442,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVr7wE4jt6p/?igsh=dnZhZGw0NTU5NDUy,,,6,old photos in HS & contemplating b roll with Ari in my lap,,No,"caption - one minute you’re posing with a skeleton, then the next you’re tryin to figure out how to word an email",38.26%,5.58,,2,0,“You used to be the funniest little kid” talking audio https://www.instagram.com/reels/audio/26253506090932569?igsh=MXc5bW1id2JsZGExdQ==,0
planning to post your baby photos for this trend,Passion,Live,"March 9, 2026","Talking head (https://www.notion.so/Talking-head-3105e3769cad80c59436d446356f6e64?pvs=21), Green screen (https://www.notion.so/Green-screen-3105e3769cad805aa3c9ff15bba97f9b?pvs=21)",,High,Nurture,0,355,38.5%,61.5%,Instagram,https://www.instagram.com/reel/DVrrwyljz54/,,,19,,Planning to post your baby photos for this trend?,Yes,,55.6%,8.4,,6,0,,1
"25 - laid off from my first job, parents just got divorced",Skills,Trial,"March 9, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),i used a template for this one but i can't find it,Low,Position,0,303,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVuVG7ij3pS/?igsh=cmR4bThiZjM0OHBs,,,6,old photo of me during that time period / b roll of me working at my desk today,"25
  • laid off from my first job
  • parents just got divorced
  • going through break up
  • loneliest time of my life",No,Caption - There is no magic pill. You just got to fill your cup to fill other’s cup everyday.,47.55%,5.09,,2,0,What do you plan to do if this whole dream of yours doesn’t work out? That thought doesn’t even enter my consciousness - audio by hitomimaatoba https://www.instagram.com/reels/audio/1202765851701780?igsh=MWRydGxzeGIxZHQyMQ==,0
One day your darkest days will help others get through their own <3,Mindset,Trial,"March 9, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Attract,0,283,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVsCfA0Dg5h/?igsh=bHJodXhjcWJ0eTUw,,"If you’re here, you’re early",4,b roll - me at work / at my desk,One day your darkest days will help others get through their own ❤️,No,"Caption - “Looking back, we were the luckiest people in the world. There was no choice but to be pioneers; no time to be beginners.”

If you’re here, you’re early ❤️",40%,4.23,,2,0,Indecision by Sampha,0
Digital nomad journey (sw0rdgirl template test),Lifestyle,Trial,"March 7, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.instagram.com/reel/DSLC9QvCVLB/?igsh=MW1wMTMyenU1ZXo3OA==,Low,Attract,,,,,Instagram,https://www.instagram.com/reel/DVh0395DpEK/?igsh=emV0eDc1bHRrcTc3,,Follow to see where I go next ✈️ ,7,,2017 - it’s too dangerous for women to travel solo,Yes,,,,"Test to show transformation with a proven format that’s worked for me in the past. ",,,Jaredthekong original audio https://www.instagram.com/reels/audio/659939986887515?igsh=MXV3ZXRkNzYwcm1xYg==,
"Digital nomad journey (Skyfall inspired) (7 sec test) ",Lifestyle,Trial,"March 7, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.instagram.com/reel/DUyX45cEv4E/?igsh=MXFtZ254MXg2b3ppdA==,Low,Attract,,,,,Instagram,https://www.instagram.com/reel/DVh0395DpEK/?igsh=emV0eDc1bHRrcTc3,,Follow to see where I go next ✈️ ,7,,2018 - never took PTO,Yes,,,,"Further tests to shorten. I don’t think this one did well because of the transformation footage I used. I was smiling but it was dark and didn’t add to anything related to traveling. ",,,Breakaway - Kelly Clarkson,
"Normal Never Wins Episode 1 - @benlapidusmusic ",Skills,Live,"March 7, 2026","Green screen (https://www.notion.so/Green-screen-3105e3769cad805aa3c9ff15bba97f9b?pvs=21), Reaction (https://www.notion.so/Reaction-3105e3769cad80aab641ce8774170173?pvs=21)",,High,Position,0,358,28.3%,71.7%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DVlmKIzDl3h/,roiinmarketing and mjonesone,Follow for more breakdowns of unconventional marketing that actually cuts through the noise. 😉,81,had to record my reaction and green screen it over the video,why is no one talking about this musician’s genius marketing stunt?,Yes,https://chatgpt.com/share/69af143c-5264-8009-ae56-66e820809f29,47.22%,14.7,visual hook wasn’t framed good. I also felt like i mixed formats (reaction and green screen). I could also make the value punchier - i think i went too far trying to add value,9,2,,0
Digital nomad journey (Skyfall inspired) (23 sec test),Lifestyle,Trial,"March 5, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.instagram.com/reel/DUyX45cEv4E/?igsh=MXFtZ254MXg2b3ppdA==,Medium,Attract,,,,,Instagram,https://www.instagram.com/reel/DVh0395DpEK/?igsh=emV0eDc1bHRrcTc3,,Follow to see where I go next ✈️ ,23,,2018 - for a long time my job and the gym was my entire identity,Yes,,,,"Shortened it after seeing the retention graph and watching Jun’s creator collab on the retention graph ",,,Breakaway - Kelly Clarkson,
Food debates (TRIAL),Mindset,Live,"March 2, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),i used the cadence from this video: https://www.instagram.com/reel/DUxhMFXDDQQ/?igsh=dHJxN2ZmZGRoeGkw,High,Attract,0,1412,0.1%,99.9%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DVX6FiVjmlc/,,"If you’re inspired to live unapologetically in your own identity, whatever that may look like for you, follow along",15,"Peach and pine sandwich. March 1st 2026. I would retake this with the chest harness for better stabilization. ","A hard truth I learned about food debates is it’s not about food, it’s about identity.",Yes,https://chatgpt.com/g/g-p-6869b87602948191bfcd3140a8f7c404-personal-brand/c/69a4e6db-afcc-8333-956a-0d592c5d7d40,38.61%,5.67,,14,0,Spring is Coming - Morunas (trending) https://www.instagram.com/reels/audio/2402566166608144/,1
Food debates (GOOD messaging),Mindset,Live,"March 2, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),i used the cadence from this video: https://www.instagram.com/reel/DUxhMFXDDQQ/?igsh=dHJxN2ZmZGRoeGkw,High,Attract,0,1963,5%,95%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DVX6FiVjmlc/,,"If you’re inspired to live unapologetically in your own identity, whatever that may look like for you, follow along",16,"Peach and pine sandwich. March 1st 2026. I would retake this with the chest harness for better stabilization. ","A hard truth I learned about food debates is it’s not about food, it’s about identity.",Yes,https://chatgpt.com/g/g-p-6869b87602948191bfcd3140a8f7c404-personal-brand/c/69a4e6db-afcc-8333-956a-0d592c5d7d40,34.25%,7.08,,20,2,Spring is Coming - Morunas (trending) https://www.instagram.com/reels/audio/2402566166608144/,0
Unpopular opinion: normal never wins,Skills,Live,"February 28, 2026",Talking head (https://www.notion.so/Talking-head-3105e3769cad80c59436d446356f6e64?pvs=21),,Low,Nurture,0,533,16.3%,83.7%,Instagram,https://www.instagram.com/reel/DVVEwz8jYUR/?igsh=MXU4Nm5oNnBqMGk3ZQ==,,,16,BTS recording - spontaneous,unpopular opinion: normal never wins,No,"Unpopular opinion: normal never wins.

But bold without strategy doesn’t either.

So I’m building a series breaking down the moments that looked reckless…
but were actually strategic

And if you’re serious about building something that lasts —
you need to know the difference.",40.66%,5.87,,14,3,,0
"I used to think if I keep my head down my work would speak for itself ",Skills,Live,"February 27, 2026",Talking head (https://www.notion.so/Talking-head-3105e3769cad80c59436d446356f6e64?pvs=21),,High,Position,2,2080,7.2%,92.8%,Instagram,https://www.instagram.com/reel/DVSXmoLjnx-/?igsh=dXA3ZzJneDBnZ2o=,,Are you communicating or explaining?,31,Recorded day of,"Visual text hook- “ I used to think if I kept my head down and did excellent work, people would notice”. 

Spoken hook - “if you’re the youngest person in the room and leadership isn’t taking you seriously. It’s probably your skill“",Yes,https://docs.google.com/document/d/1w1e9VvReR2n0S8MgZOznTBhaH5-pXi1ghgB1PRxGjPA/edit?tab=t.0,23.87%,14.3,"Lighter visual hook worked
”wait for it.. almost there” messaging in the middle of the video worked
Drop off may have been because the payoff was too early (”it’s your communication skills!”)
I do think the skills callout was strong though - “it’s you, it’s your skill” in the hook - created tension and open loop",26,2,None,4
Aren’t you embarrassed posting like an influencer without any followers,Lifestyle,Live,"February 25, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.instagram.com/reel/DR_JlMVESl5/?igsh=MTA2N2FodGV3OWphNQ==,Low,Attract,1,2194,13.7%,86.3%,Instagram,https://www.instagram.com/reel/DVNVYhBjjfa/?igsh=MWJsY3UwdjIyMHdkcg==,,Might as well follow along while you’re here 🙂,12,"AC talking head footage used as b roll. Me rubbing my eyes and sobbing b roll. ",“Aren’t you embarrassed to post like an influencer when you hardly have any followers?”,No,,31.22%,7.88,,75,16,And probably will be for life https://www.instagram.com/reel/DVNVYhBjjfa/?igsh=MWJsY3UwdjIyMHdkcg==,3
"I think you should stop taking advice from ",Mindset,Live,"February 24, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,,Attract,,486,6%,94%,Instagram,https://www.instagram.com/reel/DU671w1DzdV/?igsh=bTh6aHU3Z2hnbnE2,,,6,,You know what I think? I think you should stop taking direction from people who have never been to where you want to go,No,,42.3%,4,,9,,https://www.instagram.com/reels/audio/25544679721864898?igsh=MWQyYXo1cHdzYTZ0dg==,1
what if i have no one to go with?,Mindset,Live,"February 20, 2026","Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21), Relatable/Entertainment (https://www.notion.so/Relatable-Entertainment-3105e3769cad805d82fdc631584da316?pvs=21)",,Low,Attract,,302,,,Instagram,https://www.instagram.com/gabby.elyse_/reel/DVAIqB5kZzI/,,"Follow if you’re building your life, even if you’re building it on your own terms ✨",15,,what if i have no one go to with?,No,"what if i have no one go to with?

go alone.",43.9%,6,,21,2,https://www.instagram.com/reels/audio/915005211038774/?e=64191a24-9157-4d51-b075-10a192d566f7&g=5 https://www.instagram.com/reels/audio/915005211038774/?e=b126dd36-1f85-4b4e-9bcf-a36887e836b2&g=5,
Oct 2025 vs Feb 2026 - me thinking i don’t need cardio to see results,Lifestyle,Live,"February 19, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Nurture,2,2747,7.7%,92.3%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DU7VZSKDvRi/,,,7,,"October 2025
Me thinking i don’t need cardio to see results",No,,28%,6,"template used

11 saves",28,2,"the porsche engineers knew exactly - jaredthatkong https://www.instagram.com/reels/audio/659939986887515/?e=b09100f6-c4bf-4f2a-bb8b-e3dde44df12f&g=5 ",2
nobody is stressed more than the girl in her 30s who feels behind,Mindset,Live,"February 19, 2026","Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21), Relatable/Entertainment (https://www.notion.so/Relatable-Entertainment-3105e3769cad805d82fdc631584da316?pvs=21)",,Low,Attract,1,2826,4%,96%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DU51MczDgre/,,,6,,Nobody is more stressed than a girl in her 30s thinking she’s running out of time,Yes,,33.6%,5,"24  saves

trending template used

dips below 51% at 4s",135,3,"natalia,vegaj original audio https://www.instagram.com/reels/audio/3083766395125469/?e=6a357d99-89ea-4c94-8f50-f8aaca5b488b&g=5",3
“how’s the content creation thing going?”,Skills,Live,"February 18, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Attract,,1029,21.5%,78.5%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DU6YRYggebB/,,"if this feels like you too, introduce yourself below! let’s connect.",8,,“how’s that content creation thing going??”,No,,34.8%,7,used the trending template verbtim,9,7,sravysphere - original audio https://www.instagram.com/reels/audio/26125513073768036/?e=a869deea-b193-4f99-b842-996f62f413d7&g=5,
position attempt - sucess in content has more to do with patterns,Skills,Live,"February 16, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Convert,,527,23.8%,76.2%,Instagram,https://www.instagram.com/reel/DU1-3vcDt6x/?igsh=MWk0azVoaWpsa2c0ag==,,Comment CONTENT below to join the early list.,3,,Success in content has less to do with talent and more to do with studying the patterns.,No,,50%,4,,8,4,Firewalkbr original audio https://www.instagram.com/reels/audio/25420908284278400?igsh=MTViMWcxOTVneWttNg==,
